"","OTU","VB0889_001","VB0889_002","VB0889_003","VB0889_004","VB0889_005","VB0889_006","VB0889_007","VB0889_008","VB0889_009","VB0889_010","VB0889_011","VB0889_012","VB0889_013","VB0889_014","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_019","VB0889_020","VB0889_021","VB0889_022","VB0889_023","VB0889_024","VB0889_025","VB0889_026","VB0889_028","VB0889_029","VB0889_030","VB0889_031","VB0889_032","VB0889_033","VB0889_034","VB0889_035","VB0889_036","VB0889_037","VB0889_038","VB0889_039","VB0889_040","VB0889_041","VB0889_042","VB0889_043","VB0889_044","VB0889_045","VB0889_046","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_053","VB0889_054","VB0889_055","VB0889_056","VB0889_057","VB0889_058","VB0889_059","VB0889_060","VB0889_061","VB0889_062","VB0889_063","VB0889_064","VB0889_065","VB0889_066","VB0889_067","VB0889_068","VB0889_070","VB0889_071","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_079","VB0889_080","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_087","VB0889_088","VB0889_089","VB0889_090","VB0889_091","VB0889_093","VB0889_094","VB0889_095","VB0889_097","VB0889_098","VB0889_099","VB0889_100","VB0889_101","VB0889_102","VB0889_103","VB0889_104","VB0889_105","VB0889_106","VB0889_107","VB0889_108","VB0889_109","VB0889_110","VB0889_111","VB0889_112","VB0889_113","VB0889_114","VB0889_116","VB0889_117","VB0889_118","VB0889_119","VB0889_120","VB0889_121","VB0889_122","VB0889_124","VB0889_125","VB0889_126","VB0889_127","VB0889_128","VB0889_129","VB0889_130","VB0889_131","VB0889_132","VB0889_133","VB0889_135","VB0889_136","VB0889_137","VB0889_138"
"11","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f6bf1fecdda38d7d895fe1e45209366d",0,0,10,40,0,2,0,0,99,65,0,0,34,7,28,35,45,15,31,9,271,0,33,69,26,76,21,0,70,0,0,2,0,13,2,97,23,0,0,77,6,0,9,8,0,0,0,4,18,14,0,0,0,0,0,101,446,61,8,5,0,58,0,171,11,0,3,0,0,0,66,24,6,16,105,0,0,0,161,0,22,161,0,116,0,35,124,32,18,0,0,19,239,38,0,0,0,4,0,101,17,17,113,2,0,8,23,0,0,0,0,0,8,0,54,57,0,32,0,9,18,35,0,0,28,0,119,0,79,68,0
"12","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d798e6cdf3f3fce061e27c38e25a394d",3,4,413,80,17,33,0,11,14,6,0,4,5,0,113,13,19,55,71,0,0,0,2,0,6,101,0,51,356,4,21,1,0,0,0,46,16,94,72,0,16,4,2,72,0,4,28,5,305,116,45,0,21,22,0,42,40,0,1,24,5,224,24,4,9,0,0,2,62,15,55,122,6,0,19,16,20,0,0,0,1,0,8,19,93,137,6,95,0,0,0,0,3,0,1,19,22,0,0,0,0,0,4,0,0,0,1,4,36,0,0,0,20,33,8,4,0,0,23,0,0,5,26,3,39,293,34,47,15,3,5
"13","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Stachybotrys_Stachybotrys_chartarum_eb085739f088ae86379d5c8fd616e11a",30,21,7,28,7,25,0,43,27,56,25,9,306,32,38,41,20,36,26,55,33,11,21,21,36,26,19,18,20,38,24,7,19,42,16,17,66,6,73,4,15,24,33,30,11,47,22,74,21,28,18,324,26,7,73,36,28,22,25,24,13,30,6,26,26,1,24,34,21,9,37,25,79,25,16,54,37,73,55,25,16,5,28,13,21,47,15,10,20,17,34,12,28,22,34,28,45,37,27,51,23,44,16,27,85,37,10,21,82,25,47,44,45,47,21,19,60,21,10,24,52,18,2,18,23,3,27,8,25,42,13
"14","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_polycephala_779b455103c81b47872711d49f05c0be",11,11,23,35,36,21,13,52,37,34,11,4,36,63,14,17,16,53,18,33,26,24,14,29,39,74,16,29,25,44,41,32,18,14,19,11,43,43,58,0,30,75,38,32,8,15,59,71,26,30,19,28,23,47,18,43,7,14,39,50,10,21,19,18,24,9,17,29,48,34,25,25,75,53,12,17,95,17,54,6,5,14,25,9,25,18,26,14,35,10,17,1,29,25,25,7,28,28,12,66,16,13,18,65,17,53,13,6,71,21,23,39,30,27,16,29,71,10,24,49,34,71,17,20,37,58,23,2,12,22,1
"15","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomium_Chaetomium_cervicicola_baa7f0d2c74e3f154cb90f2bfb185b3d",0,29,5,6,9,9,300,11,130,0,11,7,9,14,0,10,1,0,7,17,6,20,15,10,58,0,16,16,3,0,8,43,0,18,4,0,6,3,63,13,12,32,15,10,22,18,11,20,0,12,2,41,32,9,0,55,0,11,15,19,718,0,3,0,31,207,37,9,40,15,5,4,22,9,6,1,13,0,9,4,4,12,13,0,73,0,62,4,0,33,8,8,25,2,10,11,3,11,11,6,100,16,11,106,18,42,27,111,10,23,48,50,3,6,6,6,17,10,7,0,15,6,43,24,3,7,0,415,9,8,8
"16","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Hyalosphaerella_Hyalosphaerella_fragilis_a15adea148d395a2af800de785689521",53,106,31,36,46,18,27,35,56,49,36,24,20,25,20,27,44,27,27,9,29,2,40,12,18,24,26,42,19,14,24,13,32,43,7,35,40,34,12,23,17,32,30,49,16,38,37,16,36,28,19,18,41,59,13,27,27,20,20,61,11,46,9,20,32,16,35,26,41,40,37,33,39,41,16,0,20,21,19,24,16,26,28,15,19,61,24,19,26,38,39,33,44,5,23,29,24,26,6,51,42,9,9,86,21,63,1,34,21,44,7,41,15,29,5,21,42,14,31,18,24,36,37,40,32,47,37,14,15,17,34
"17","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_unclassified_456615ec3765a33926726403a24e8e3a",0,0,51,61,7,33,98,0,0,1,0,0,59,0,0,9,0,0,0,0,17,0,0,7,0,9,0,0,0,9,0,412,3,6,47,0,0,144,167,7,26,44,10,26,25,0,4,60,39,21,24,0,36,25,0,0,0,0,4,108,27,166,12,5,0,106,11,0,28,0,13,18,36,51,5,7,0,0,25,0,0,40,17,109,18,39,0,0,0,8,0,33,0,0,0,0,31,0,0,5,93,4,3,0,0,130,0,57,33,73,16,0,0,132,2,0,0,0,0,3,11,31,301,129,56,156,0,0,0,0,88
"18","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_752c804ed74473d63a28a1f0959ece39",49,0,7,0,0,20,0,28,4,14,18,0,0,21,12,1,4,17,0,0,0,18,55,49,13,37,23,6,18,14,0,0,22,15,196,9,45,60,0,3,19,0,82,122,0,7,85,15,15,0,0,0,3,0,0,6,0,36,81,0,0,8,5,16,0,0,12,19,0,8,10,0,24,14,19,24,32,12,6,6,47,40,44,23,11,34,0,18,11,54,26,10,43,18,16,11,55,25,15,7,11,40,33,0,41,0,31,32,13,23,130,19,89,5,23,3,40,65,23,96,45,7,0,0,31,0,0,0,0,28,0
"19","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Subramaniula_Subramaniula_thielavioides_c0ca333b82f730059feebd24b43d7972",20,0,28,25,21,18,9,12,24,18,13,0,14,39,9,30,55,27,0,27,39,11,13,15,17,26,15,53,13,16,25,9,15,11,10,14,22,33,15,0,9,57,35,40,18,45,9,40,13,35,11,9,47,44,0,21,20,8,25,25,5,11,0,14,18,95,27,20,17,34,26,26,25,21,16,14,78,6,27,17,14,7,18,4,6,16,38,6,29,16,42,16,24,8,8,17,21,14,17,46,11,9,7,48,15,13,3,20,33,19,12,25,75,46,22,10,19,4,12,12,7,19,18,36,28,12,7,3,18,24,19
"20","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_80e9118eb4a31b37bff24fb85108f8e2",9,0,12,5,22,7,11,0,134,29,52,0,36,211,13,9,35,18,23,21,26,11,11,11,16,12,10,239,20,32,15,6,0,6,3,15,21,23,10,21,6,51,9,15,23,22,5,26,10,13,6,16,40,28,47,15,16,5,17,12,0,16,0,26,18,17,24,22,12,11,16,11,29,20,6,46,19,41,22,10,2,4,11,0,9,14,33,13,13,15,70,9,21,6,12,32,24,15,2,86,16,8,7,23,12,28,1,24,34,30,13,56,9,20,6,22,17,10,13,8,12,20,14,18,10,26,23,6,7,11,19
"21","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_terreus_107d7f29f9a85d2899355fd8184504f0",8,3,12,20,23,10,11,31,2,27,12,9,49,5,11,5,28,20,155,0,25,10,14,13,24,6,17,16,20,14,0,0,3,360,11,0,18,4,6,6,4,57,11,31,48,41,12,12,0,31,8,28,201,7,0,9,0,75,5,23,0,32,0,147,8,0,18,22,36,64,20,8,31,32,21,15,14,0,10,84,0,0,25,0,9,37,254,6,12,44,36,16,18,9,9,4,5,11,12,10,10,6,9,9,14,23,10,17,11,23,23,134,23,18,13,23,19,15,11,15,9,7,6,8,8,0,3,4,4,15,0
"22","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_mebaldsii_2495576c942c0b8f99d73e364268a0d9",1,11,4,19,2,16,0,68,2,13,12,3,6,8,10,7,12,15,11,30,19,22,13,19,138,15,75,8,33,63,23,0,24,21,34,1,31,5,4,10,14,7,26,13,4,15,20,32,16,26,3,16,20,7,14,18,0,37,30,8,1,6,2,45,8,0,12,28,5,41,23,10,34,22,15,8,37,12,23,8,25,14,24,39,1,8,5,32,12,8,35,12,23,12,57,35,34,18,29,38,19,38,11,14,38,0,28,14,28,22,12,2,14,21,18,12,28,8,64,16,55,7,0,5,56,3,28,3,5,25,1
"23","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_72e0e850ed800f454c0ead07b8aee884",0,0,0,0,23,0,0,86,0,0,0,0,0,0,50,0,0,68,0,49,0,0,37,31,0,0,27,0,0,0,10,0,0,29,10,0,52,0,0,0,0,0,0,0,92,54,26,0,0,0,0,0,0,39,0,5,0,0,0,0,0,0,0,9,45,0,23,47,0,0,0,0,9,0,0,0,56,0,0,0,82,114,37,0,79,0,0,42,0,17,0,0,8,0,0,0,0,105,48,0,0,59,92,89,11,3,0,0,0,0,30,0,0,23,30,61,10,0,77,86,6,0,0,0,0,0,0,0,0,0,0
"24","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2908d4e357dce29580db77bfea7b6a48",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,200,0,65,0,0,16,41,0,124,0,51,0,0,43,0,0,0,41,0,35,95,0,0,0,0,0,15,97,0,0,26,33,0,0,0,0,0,17,71,0,0,12,0,0,0,0,220,58,0,0,23,0,55,0,33,0,54,31,0,0,0,93,0,15,29,0,0,0,0,0,0,0,0,0,0,14,14,0,159,0,0,0,11,0,23,0,33,0,0,0,0,0,0,0,77,0,0,0,0,25,21,18,13,34,2,0,29,59,0,0,0,0,0,0
"25","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_95f3c43d644ee659e8266e1c4c9ee642",0,1,35,10,2,12,25,15,1,6,15,20,15,20,9,74,141,67,5,1,7,28,0,0,47,12,15,23,41,0,2,7,0,0,2,180,17,10,7,0,4,2,16,5,0,17,5,30,33,28,5,12,13,7,0,38,9,2,5,8,5,23,4,25,12,0,6,0,6,11,31,93,8,59,40,15,2,2,11,4,15,0,41,13,76,5,5,26,3,21,0,16,2,17,7,0,11,7,3,0,34,4,6,1,3,18,4,0,40,0,0,18,83,37,20,1,7,3,6,0,0,6,6,0,23,0,13,13,7,47,0
"26","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_1a061860efe2fd1091f90de83d82ff4d",132,0,1,4,0,0,1,8,0,3,0,0,0,0,18,7,0,0,0,0,0,23,5,0,9,0,0,1,40,0,51,0,42,12,8,0,2,0,2,15,5,0,15,0,6,0,63,0,7,1,0,0,0,0,0,7,5,20,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,21,77,0,6,0,0,32,2,4,38,0,0,3,32,0,0,11,8,5,174,19,147,9,0,16,0,5,71,1,0,120,0,62,10,5,18,26,2,15,1,111,1,0,14,114,1,45,0,0,0,43,0,0,0,5,112,0
"27","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_e44576938f7308623896e3cc195e0d53",8,0,0,106,0,11,0,0,0,0,0,0,0,5,0,44,12,0,8,50,14,0,52,38,24,4,110,0,0,0,14,0,0,16,0,0,7,0,0,0,0,0,0,9,0,0,8,10,2,1,86,0,0,12,0,35,3,5,1,7,0,14,4,31,0,0,15,30,0,0,17,2,3,0,36,2,15,0,24,9,12,12,0,3,0,37,28,2,41,1,0,422,0,5,3,0,17,40,6,19,27,18,2,40,0,0,45,0,102,0,6,0,15,6,0,0,7,8,0,5,22,4,0,2,20,4,0,0,0,30,0
"28","Fungi_Ascomycota_Dothideomycetes_Pleosporales_unclassified_unclassified_unclassified_c5e068be2668e67b64c83f3503976c92",7,7,7,8,22,9,0,34,11,10,14,8,19,15,8,3,11,7,13,18,25,7,12,16,9,7,5,2,11,9,9,6,344,16,4,9,15,4,7,4,5,27,10,7,6,30,2,17,8,13,5,7,28,18,21,13,6,6,7,22,0,5,3,9,18,8,25,9,3,7,11,11,16,10,7,7,8,13,4,2,7,2,13,4,9,13,30,10,15,7,14,10,10,8,10,8,12,20,13,22,14,11,4,22,8,15,5,7,12,24,17,13,18,15,15,4,9,12,12,2,10,18,1,8,5,11,7,390,14,19,6
"29","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_2ded4ab4778f5c3fdbb213b17ac22349",7,0,9,16,22,24,0,17,69,26,14,8,24,29,8,10,0,5,23,0,9,5,12,23,12,6,11,13,16,24,1,0,7,22,10,12,15,14,32,3,26,26,11,9,36,10,14,16,6,15,11,11,9,28,0,23,0,7,19,47,5,12,13,12,21,30,6,4,5,44,10,8,13,2,8,7,22,22,6,18,12,11,28,14,10,30,14,6,6,13,14,10,10,8,25,6,21,37,5,29,27,5,11,9,22,28,2,8,28,18,34,43,11,42,7,8,12,23,9,47,16,8,12,23,8,0,16,0,0,6,0
"30","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_b1709734b7dcde8d041339c8d3507f1e",0,0,61,0,0,144,0,0,0,0,0,0,0,26,29,417,1,22,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,97,0,0,0,0,0,0,0,1,0,79,17,0,0,0,0,0,0,0,0,0,2,0,0,2,0,19,0,0,0,1,0,167,93,0,0,80,3,0,0,0,0,8,0,8,20,0,0,0,143,0,0,0,0,1,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,8,1,0,0,0,0,0,4,12
"31","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_51121d174235724d93d9ad2496a65689",8,12,9,10,1,24,1,26,11,21,10,2,11,8,13,5,5,9,24,32,8,2,5,5,31,9,6,41,12,11,67,13,1,4,3,6,7,0,6,2,7,29,8,7,4,20,41,16,15,9,4,8,8,2,23,28,6,8,11,17,3,7,180,7,4,3,18,5,9,1,20,5,14,6,11,53,7,24,4,9,11,6,9,16,5,33,3,12,5,3,31,4,6,5,27,12,15,7,6,6,4,7,17,12,45,9,3,4,18,10,1,9,14,10,18,7,7,10,26,4,0,4,7,104,112,2,9,0,7,10,0
"32","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_b91d6310355ef9aadd0485f95502e441",4,0,2,0,37,3,0,4,10,27,0,3,0,1,7,32,2,9,2,0,3,20,22,29,10,2,19,17,6,38,2,0,23,5,60,8,6,0,1,2,4,34,11,4,11,45,4,0,4,6,32,2,11,25,0,14,5,7,24,20,14,3,26,22,10,0,7,101,0,17,4,7,8,10,13,3,8,0,10,3,1,51,21,2,14,2,0,9,44,58,18,10,12,40,8,3,7,8,5,5,14,46,10,15,28,11,28,4,0,4,55,0,2,9,6,2,26,24,13,22,31,12,0,3,18,0,22,0,5,10,1
"33","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_35c351e1f2a05ba247a822b85fb2f2fd",0,0,0,57,0,17,0,0,0,0,0,0,1,54,0,37,11,0,0,14,5,0,62,6,2,0,68,0,15,4,15,0,0,21,4,0,0,0,0,0,0,0,0,9,0,1,14,9,0,8,72,5,0,10,0,53,0,0,4,6,0,0,0,0,0,0,12,29,0,26,6,0,0,0,8,0,12,0,30,0,0,6,0,0,14,16,0,3,0,2,0,345,0,2,18,0,0,38,0,12,9,14,0,34,0,0,43,0,43,0,7,2,27,2,1,0,2,3,0,4,20,4,0,0,34,0,10,0,2,10,10
"34","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_b836e22d01ed6a62b260f01262127a38",13,16,6,10,24,4,18,7,23,18,38,10,19,14,2,7,21,12,28,16,21,5,13,4,10,9,4,30,8,7,12,18,10,0,2,11,27,11,0,18,9,45,12,19,15,42,3,9,4,16,6,32,60,26,11,11,6,4,12,22,1,12,5,9,7,44,40,13,34,9,5,13,3,13,3,4,22,11,7,8,6,5,6,0,13,14,23,6,10,9,22,13,9,4,11,21,10,10,6,25,4,1,3,21,4,21,0,15,24,72,15,17,100,13,14,6,15,13,3,8,7,4,16,6,6,24,7,7,13,17,6
"35","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_677f39cb0b5f073bab4e5b5ceb33d96f",11,5,2,1,0,5,0,0,7,0,0,0,0,0,4,9,82,2,0,2,66,0,0,47,4,16,4,5,7,26,0,0,0,0,2,16,7,43,4,0,0,4,0,0,0,0,0,28,1,53,0,0,10,0,0,0,8,0,3,6,1,0,0,0,3,64,13,0,0,1,0,4,0,63,21,11,0,26,0,2,6,0,4,17,9,1,0,0,0,2,0,14,19,0,0,0,0,14,0,0,3,0,0,22,0,35,0,0,12,0,0,0,4,9,10,0,0,0,0,6,0,2,9,8,7,0,0,3,737,0,0
